MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,Chroma_0,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,SpectralContrast_0,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,Label
-480.5111389160156,100.1113052368164,-7.636088848114014,21.157196044921875,11.80648422241211,-5.931723117828369,-7.328280448913574,-1.6567625999450684,-9.234570503234863,-2.054844379425049,-10.759305000305176,-7.281696319580078,-5.610913276672363,0.4984000325202942,0.5248113870620728,0.5808868408203125,0.6159297227859497,0.6101992726325989,0.6095350384712219,0.6116592884063721,0.6027730107307434,0.5723410248756409,0.54938143491745,0.5131589770317078,0.4832454323768616,17.286958790726143,9.617063447515,12.700859639001953,13.180564366221887,16.904941188244706,21.922349654767668,22.034148049928532,Dutch
-344.17041015625,92.08330535888672,27.73404312133789,39.9482536315918,22.626039505004883,14.728590965270996,6.011378765106201,7.64342737197876,-0.7027342319488525,6.62915563583374,5.471956253051758,7.353496074676514,7.350448131561279,0.6173555254936218,0.5396117568016052,0.6132477521896362,0.6722947955131531,0.7271643280982971,0.784119188785553,0.8463922739028931,0.874302327632904,0.8569087982177734,0.8431562185287476,0.7849327325820923,0.7202046513557434,9.219525967793077,6.942693628590215,9.787100959661124,11.028063274940545,12.887883260779102,15.976476664568365,14.471759323045585,Dutch
-493.7018737792969,96.82307434082031,-6.321725368499756,22.114015579223633,13.149846076965332,-6.660888671875,-3.352039337158203,0.7801243662834167,-13.357633590698242,-1.1780351400375366,-11.958146095275879,-8.624076843261719,2.822326898574829,0.5500239729881287,0.5709038972854614,0.6195152997970581,0.6331551671028137,0.6088646650314331,0.6094323992729187,0.6242748498916626,0.6078349947929382,0.5613511800765991,0.5425667762756348,0.5569128394126892,0.5637961030006409,17.591154836758374,9.721972885323403,12.302936074855047,12.703942630222953,16.20811413803437,21.2775971908402,21.680834454220413,Dutch
-340.6566162109375,94.5740737915039,29.264812469482422,44.37796401977539,25.41579818725586,13.347201347351074,2.345571517944336,3.710923433303833,0.49302759766578674,7.645854473114014,5.280465126037598,6.974759101867676,6.774149417877197,0.6351537108421326,0.5765186548233032,0.6301606297492981,0.6611896753311157,0.7079654932022095,0.7591157555580139,0.8160631656646729,0.8295815587043762,0.8229443430900574,0.8157262802124023,0.7770789265632629,0.7186691761016846,9.129244486707293,6.755012892406071,10.208591335467398,10.728041195355564,13.269170913794023,16.077778373417477,14.443685205773013,Dutch
-470.2400817871094,105.01399993896484,-7.950626850128174,26.151506423950195,13.259325981140137,-8.03610610961914,-8.838916778564453,-4.337098598480225,-12.568467140197754,-1.7514879703521729,-6.481637001037598,-7.83223295211792,-0.968942403793335,0.521930992603302,0.5613895058631897,0.5872116088867188,0.6465757489204407,0.6390596032142639,0.6038110852241516,0.602525532245636,0.6027465462684631,0.5820602178573608,0.5208919048309326,0.4928751289844513,0.5029315948486328,17.634031283787113,9.363098489203079,13.01056324659911,13.064137413851451,16.68006032779036,22.89994102356867,22.713892945618188,Dutch
-487.7777404785156,103.65032958984375,-7.327508449554443,22.037803649902344,5.610229969024658,-5.761087417602539,-11.605199813842773,-3.129984140396118,-10.84576416015625,-1.4174437522888184,-15.521790504455566,-10.260530471801758,-3.4683384895324707,0.5632451176643372,0.5789085030555725,0.5987877249717712,0.574579656124115,0.5647295117378235,0.5623864531517029,0.5676994323730469,0.5887085199356079,0.5745079517364502,0.5887849926948547,0.576422393321991,0.5649235248565674,16.895917551688957,8.417071148508853,12.280933802347306,13.282979220090427,16.21171782159943,21.187999856067673,22.82997432370168,Dutch
-498.4937744140625,97.0017318725586,-1.554853916168213,28.635997772216797,17.13543128967285,-1.0899105072021484,-5.310922145843506,2.6314194202423096,-6.4934773445129395,3.763521909713745,-5.2740888595581055,-5.303170204162598,-1.1913224458694458,0.5523577928543091,0.5894736051559448,0.6616265177726746,0.6564607620239258,0.6363953351974487,0.6517716646194458,0.6588850617408752,0.6449307799339294,0.5815839171409607,0.5573429465293884,0.5443764328956604,0.5286484956741333,16.631347312853702,10.842886043653172,12.04641585776533,12.891390232207705,15.611233193053884,20.41446298779997,19.706186247632633,Dutch
-513.6441650390625,91.16820526123047,7.565246105194092,28.787893295288086,19.40117835998535,0.5383034944534302,-3.276900053024292,3.1378166675567627,-6.739532947540283,0.3308417499065399,-6.312737941741943,-3.3223471641540527,1.2961375713348389,0.6280133128166199,0.6670151352882385,0.7084859013557434,0.69822096824646,0.6805132031440735,0.653699517250061,0.6448093056678772,0.6173059940338135,0.5527504086494446,0.5520241260528564,0.5430513024330139,0.5580491423606873,16.68825870748461,10.742784085091483,12.28223237697893,12.371675856544257,15.67288540662397,20.75703660920442,21.426033123837335,Dutch
-500.7112121582031,99.50564575195312,-2.7764503955841064,28.35910987854004,18.46933937072754,0.22326800227165222,-7.296628475189209,1.5764291286468506,-8.909614562988281,4.247514247894287,-7.501163959503174,-5.493168830871582,0.26349425315856934,0.5597022175788879,0.6044185757637024,0.6477407813072205,0.6407575607299805,0.6411841511726379,0.6401470303535461,0.6363311409950256,0.6143186092376709,0.5662510991096497,0.5766440033912659,0.5442479252815247,0.5039489269256592,16.946927702696545,10.421956235129674,12.450537364602027,12.501966732301787,15.882136427804015,19.96769018017959,18.511559962058477,Dutch
-521.9125366210938,98.29287719726562,1.7448266744613647,28.902360916137695,15.714752197265625,1.1551538705825806,-5.039941787719727,2.5515036582946777,-7.81721305847168,3.2291440963745117,-6.298954486846924,-1.7280254364013672,0.22675742208957672,0.5585974454879761,0.6271209716796875,0.6776527166366577,0.6844441890716553,0.6662788391113281,0.646845281124115,0.6299497485160828,0.6222739219665527,0.5917141437530518,0.5832201242446899,0.5886883735656738,0.5376808047294617,16.772294776176896,10.888945860015966,12.060365233562647,12.361792751940516,15.405455184819004,19.329287376989292,18.09622747576721,Dutch
