Feature,Chi2 Score,p-value
MFCC_0,27.652461571106162,9.893370292661483e-07
MFCC_1,13.772082501848615,0.0010219514932255608
MFCC_2,80.43755791252698,3.4135497000791274e-18
MFCC_3,58.42922871266581,2.052363082795265e-13
MFCC_4,17.711112702576287,0.0001425872662026213
MFCC_5,87.63316424382661,9.347601047941684e-20
MFCC_6,43.52564889178844,3.5361072812890947e-10
MFCC_7,10.095564566517051,0.006423563305408082
MFCC_8,37.29806339932117,7.958449045055519e-09
MFCC_9,21.87144807477948,1.7810470604708926e-05
MFCC_10,61.05556051934808,5.5201831674227715e-14
MFCC_11,225.33527450165496,1.1723758207024092e-49
MFCC_12,54.12613557198828,1.7646516931763724e-12
Chroma_0,22.036956634010576,1.6395915369262242e-05
Chroma_1,6.673414950905048,0.035553827066799874
Chroma_2,10.871794605723242,0.004357323427692273
Chroma_3,18.52221889253084,9.504981396493975e-05
Chroma_4,25.809877351577697,2.485743679484998e-06
Chroma_5,38.667117877859624,4.013673464919184e-09
Chroma_6,35.61918117129395,1.842438854379902e-08
Chroma_7,32.56458800295981,8.485736901523714e-08
Chroma_8,24.804517781608286,4.109295765200703e-06
Chroma_9,49.5819851754395,1.7116253826243818e-11
Chroma_10,57.31773036601513,3.57777473917557e-13
Chroma_11,67.68029000744802,2.0109985528772006e-15
SpectralContrast_0,381.9247604765781,1.1643726920282406e-83
SpectralContrast_1,428.9430550233525,7.181233965357591e-94
SpectralContrast_2,11.502845124081622,0.0031782563123070825
SpectralContrast_3,61.811309076532524,3.783073459005263e-14
SpectralContrast_4,82.92637795217853,9.834806635538862e-19
SpectralContrast_5,55.688890070078514,8.078136169910493e-13
SpectralContrast_6,139.20331762405377,5.920844381816507e-31
